2016/38 Ливре	05/24/2016	318	323	108452.00	1553	4.81	69.83	2.07	6.41	1.91
2016/43 Ливре	06/20/2016	348	352	145239.00	1511	4.29	96.12	2.09	5.94	1.44
2016/45 Ливре	06/29/2016	338	339	116965.00	1425	4.20	82.08	2.00	5.89	1.71
2016/47 ГПНТБ СО РАН	07/01/2016	47	49	18984.00	37	0.76	513.08	0.05	1.06	0.27
2016/48 ИД Звонница-МГ	07/04/2016	3	9	7599.00	0	0.00	7599.00	0.00	0.00	0.00
2016/49 Ливре	07/04/2016	332	342	130713.00	1397	4.08	93.57	1.97	5.76	1.51
2016/53 Ливре	07/26/2016	64	64	21900.00	81	1.27	270.37	0.12	1.84	0.54
2016/56 Ливре	08/16/2016	103	108	50957.00	352	3.26	144.76	0.53	4.89	1.04
2016/62 Продалитъ	09/12/2016	1	2	1577.10	19	9.50	83.01	0.03	14.87	1.89
2016/71 Вече	10/14/2016	67	67	15339.80	69	1.03	222.32	0.11	1.70	0.74
2016/73 Ливре	10/26/2016	254	258	169649.00	641	2.48	264.66	1.08	4.18	0.64
2016/79 Союз художников	11/14/2016	91	91	18902.12	86	0.95	219.79	0.15	1.64	0.79
2016/80 Продалитъ	11/14/2016	123	123	43095.68	707	5.75	60.96	1.23	9.98	2.85
2016/82 ГПНТБ	11/24/2016	5	5	1600.00	0	0.00	1600.00	0.00	0.00	0.00
2016/90 ГПНТБ	12/08/2016	4	4	1420.00	3	0.75	473.33	0.01	1.36	0.38
2016/93 Интергрупп	12/19/2016	2	2	23000.00	4	2.00	5750.00	0.01	3.70	0.03
2016/97 Продалитъ	12/26/2016	350	350	99009.42	2521	7.20	39.27	4.72	13.49	4.77
2017/51 Кнорус	06/21/2017	289	302	102199.90	1215	4.02	84.12	3.40	11.27	3.33
2017/61 ГПНТБ СО РАН	07/12/2017	8	8	3390.00	8	1.00	423.75	0.02	2.98	0.70
2017/65 Буква-С	07/24/2017	25	26	29260.00	46	1.77	636.09	0.14	5.46	0.49
2017/72 Кнорус	08/30/2017	365	373	124864.94	593	1.59	210.56	2.07	5.54	1.65
2017/73 РГБ	08/31/2017	30	36	21950.00	24	0.67	914.58	0.08	2.33	0.38
2017/78 РНБ	09/18/2017	44	46	18321.00	8	0.17	2290.13	0.03	0.65	0.16
2017/83 Звонница	09/27/2017	1	3	3090.00	0	0.00	3090.00	0.00	0.00	0.00
2017/87 СГУПС	10/05/2017	2	2	3000.00	6	3.00	500.00	0.02	11.95	0.80
2017/92 Кнорус	10/18/2017	458	460	161104.90	663	1.44	242.99	2.79	6.06	1.73
2017/103 ГПНТБ СО РАН	11/16/2017	3	3	1410.00	0	0.00	1410.00	0.00	0.00	0.00
2017/112 Книги и кофе	12/05/2017	62	82	61115.00	113	1.38	540.84	0.59	7.25	0.97
2017/114 Кнорус	12/13/2017	15	16	5203.20	51	3.19	102.02	0.28	17.51	5.39
2017/115 Кнорус	12/13/2017	475	493	173994.60	436	0.88	399.07	2.40	4.86	1.38
2017/116 Кнорус	12/21/2017	79	83	36432.66	130	1.57	280.25	0.75	9.00	2.05
2017/118 Кнорус	12/26/2017	74	74	40675.80	115	1.55	353.70	0.68	9.20	1.67

Всего по всем КСУ	05/24/2016	4380	4495	1760414.12	13814	3.07	127.44	18.42	4.10	1.05
